PartyType_Code,Sobriety_Code,Age,PrimaryCollisionFactor_Code,CollisionType_Code,VehicleDamage_Code,MovementPrecedingCollision_Code,ViolationCode,CrashTime,Distance
3,2,0,5,2,3,10,21658,22,0.0
3,2,63,4,5,5,0,0,2,0.0
0,1,19,0,3,1,0,21650,9,6.0
3,7,32,5,3,3,10,20002,1,150.0
3,1,71,5,6,3,0,0,22,0.0
0,2,54,0,3,5,10,21202,12,0.0
18,2,0,4,6,5,10,0,10,200.0
3,1,53,5,8,5,0,21950,8,0.0
9,1,68,5,5,1,8,0,13,0.0
3,2,40,5,5,1,0,0,18,153.0
3,2,0,4,6,5,8,0,8,0.0
3,2,0,4,7,5,0,0,13,0.0
3,2,57,5,0,3,5,22107,10,180.0
3,0,0,5,6,2,10,0,2,0.0
10,2,34,5,8,5,10,0,22,0.0
3,2,64,4,5,5,8,0,15,0.0
3,0,0,5,1,2,10,0,15,69.0
3,1,55,5,5,1,8,0,9,0.0
3,1,45,5,6,1,8,0,17,35.0
3,8,27,5,5,2,0,23153,19,189.0
3,1,0,5,5,1,0,22350,12,0.0
3,1,29,4,5,1,8,0,13,0.0
10,2,19,5,8,5,0,0,20,0.0
3,1,52,5,8,5,1,22350,7,40.0
3,1,19,5,0,2,2,21801,18,0.0
3,2,68,5,1,2,2,0,12,0.0
3,1,31,4,5,3,8,0,17,49.0
3,1,72,5,6,1,0,0,11,120.0
18,2,0,4,2,5,10,0,21,26.0
3,1,83,5,6,1,5,22107,12,250.0
3,0,0,5,3,5,10,0,22,63.0
3,1,26,5,0,1,0,0,22,22.0
3,2,0,5,2,3,2,22350,0,0.0
9,1,60,5,3,1,10,21804,19,67.0
3,1,35,4,5,5,8,0,17,10.0
3,1,68,5,0,1,2,21804,13,265.0
3,1,41,6,5,5,0,0,16,0.0
13,1,55,5,6,1,1,0,11,0.0
3,0,0,4,5,5,10,0,6,0.0
9,0,0,5,1,1,10,0,7,200.0
3,1,42,5,5,1,0,22350,17,0.0
13,2,0,5,3,1,0,21658,11,0.0
3,1,54,5,0,2,0,21453,15,0.0
9,1,22,5,0,2,2,21802,13,0.0
3,1,35,5,6,2,10,0,11,305.0
3,1,38,5,2,3,0,1,15,40.0
3,1,53,5,5,1,8,0,16,0.0
3,1,35,5,5,1,8,0,21,0.0
0,1,9,0,7,5,10,21804,16,400.0
9,0,0,5,6,2,10,0,15,380.0
3,1,63,5,0,2,10,0,10,65.0
3,1,59,5,5,2,0,0,8,0.0
9,2,26,5,5,2,0,22350,10,0.0
9,1,32,5,5,1,8,0,21,15.0
3,2,37,5,0,2,0,0,0,0.0
0,2,84,5,7,5,0,0,18,165.0
9,2,37,5,6,1,0,0,18,123.0
9,6,0,5,3,5,3,22106,22,65.0
3,2,0,5,6,2,0,21453,23,0.0
3,1,68,5,1,1,8,0,14,0.0
3,2,18,4,5,5,8,0,14,0.0
3,1,36,5,3,5,10,22350,8,0.0
3,1,42,5,1,1,0,22350,21,42.0
3,2,25,5,1,5,0,22350,15,0.0
3,1,75,5,5,1,3,21703,12,22.0
3,1,27,5,1,3,0,22350,0,0.0
3,2,57,5,0,3,2,21453,7,0.0
3,2,0,4,5,5,0,0,8,0.0
3,7,29,5,2,3,2,23152,1,16.0
3,0,0,5,6,3,10,0,17,82.0
3,0,0,5,6,3,10,0,9,394.0
18,2,0,4,3,5,10,0,6,207.0
18,2,0,4,5,5,10,0,18,51.0
3,2,0,5,6,5,1,21453,6,0.0
3,7,38,5,0,1,3,22106,1,0.0
3,1,0,5,0,1,0,0,14,0.0
3,2,31,4,3,5,10,0,18,51.0
9,1,33,5,5,1,8,0,21,36.0
3,2,0,5,6,5,0,21658,19,135.0
3,2,0,4,2,1,8,0,0,0.0
18,2,0,5,3,5,10,20002,2,111.0
3,2,45,4,0,5,2,0,7,0.0
3,0,0,5,6,1,10,0,21,200.0
3,0,0,4,6,2,10,0,5,108.0
3,2,0,4,3,5,2,0,10,0.0
3,1,60,5,5,1,8,0,14,110.0
3,2,32,5,2,3,2,22107,3,0.0
3,0,0,4,6,5,10,0,15,17.0
3,2,29,5,2,3,0,22350,5,85.0
3,2,33,4,6,5,0,0,12,0.0
3,2,0,4,5,5,10,0,19,0.0
3,1,31,5,5,1,8,0,18,0.0
3,0,0,4,3,5,10,0,17,0.0
3,1,61,5,5,2,8,0,8,240.0
9,1,40,5,1,1,2,21801,9,300.0
3,7,46,5,6,3,1,23152,1,106.0
3,1,0,4,1,3,2,0,8,0.0
0,1,51,5,3,5,0,0,18,44.0
3,1,22,5,5,5,0,21703,15,0.0
3,1,44,5,5,2,0,0,14,33.0
10,1,69,3,3,5,0,21955,20,150.0
3,1,51,5,5,1,8,0,18,0.0
0,1,31,5,7,5,0,0,12,0.0
3,1,16,5,5,3,0,0,12,0.0
3,1,38,5,5,1,8,0,19,0.0
3,2,33,4,7,5,10,0,13,0.0
3,0,0,5,3,3,10,0,2,330.0
3,2,0,4,5,5,2,0,9,0.0
3,1,30,5,0,3,0,0,6,0.0
3,0,0,5,5,1,10,0,3,107.0
3,2,22,4,0,5,1,0,12,0.0
3,0,0,4,6,5,10,0,0,0.0
