CrashName,PartyType,Age,Sobriety,AgeGroup,Sobriety_Code,PartyType_Code
CR-0000089170,Car,63,Impairment Not Known,60+,2,3
CR-0000089170,Pedestrian,33,Impairment Not Known,31-45,2,10
CR-0000089170,Pedestrian,49,Impairment Not Known,46-60,2,10
CR-0000089170,Pedestrian,38,Impairment Not Known,31-45,2,10
CR-0000089171,Pedestrian,69,Impairment Not Known,60+,2,10
CR-0000089171,Car,19,Had Not Been Drinking,18-30,1,3
CR-0000089172,Car,31,Impairment Not Known,31-45,2,3
CR-0000089172,Car,67,Impairment Not Known,60+,2,3
CR-0000089378,Pedestrian,63,Had Not Been Drinking,60+,1,10
CR-0000089379,Car,27,Had Been Drinking - Impairment Unknown,18-30,6,3
CR-0000089378,Other,45,Impairment Not Known,31-45,2,17
CR-0000089379,Car,29,Had Not Been Drinking,18-30,1,3
CR-0000089737,Bus - Other,0,Had Not Been Drinking,<18,1,1
CR-0000089737,Pedestrian,59,Impairment Not Known,46-60,2,10
CR-0000089738,Car,40,Had Been Drinking - Under Influence,31-45,7,3
CR-0000089828,Car,25,Impairment Not Known,18-30,2,3
CR-0000089846,Motorcycle/Moped,49,Impairment Not Known,46-60,2,8
CR-0000089850,Pedestrian,76,Impairment Not Known,60+,2,10
CR-0000089850,Car,71,Had Not Been Drinking,60+,1,3
CR-0000090339,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090339,Pedestrian,53,Impairment Not Known,46-60,2,10
CR-0000090339,Pedestrian,76,Impairment Not Known,60+,2,10
CR-0000090340,Car,41,Impairment Not Known,31-45,2,3
CR-0000090341,Car,0,Impairment Not Known,<18,2,3
CR-0000090340,Car,0,Impairment Not Known,<18,2,3
CR-0000090542,Car,25,Had Not Been Drinking,18-30,1,3
CR-0000090543,Car,20,Had Not Been Drinking,18-30,1,3
CR-0000090544,Car,0,Had Not Been Drinking,<18,1,3
CR-0000090546,Car,64,Had Not Been Drinking,60+,1,3
CR-0000090548,Car,0,Impairment Not Known,<18,2,3
CR-0000090551,Car,53,Had Not Been Drinking,46-60,1,3
CR-0000090552,Car,0,Impairment Not Known,<18,2,3
CR-0000090555,Car,0,Impairment Not Known,<18,2,3
CR-0000090541,Car,27,Had Not Been Drinking,18-30,1,3
CR-0000090542,Car,0,Impairment Not Known,<18,2,3
CR-0000090543,Car,21,Had Not Been Drinking,18-30,1,3
CR-0000090547,Car,24,Had Been Drinking - Under Influence,18-30,7,3
CR-0000090548,Car,0,Not Applicable,<18,0,3
CR-0000090548,Car,0,Not Applicable,<18,0,3
CR-0000090550,Pedestrian,59,Had Not Been Drinking,46-60,1,10
CR-0000090551,Car,18,Had Not Been Drinking,<18,1,3
CR-0000090557,Car,22,Impairment Not Known,18-30,2,3
CR-0000090558,Car,34,Had Not Been Drinking,31-45,1,3
CR-0000090560,Unknown,0,Not Applicable,<18,0,18
CR-0000090540,Car,0,Impairment Not Known,<18,2,3
CR-0000090540,Car,0,Not Applicable,<18,0,3
CR-0000090541,Car,23,Impairment Not Known,18-30,2,3
CR-0000090548,Car,0,Not Applicable,<18,0,3
CR-0000090549,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090549,Car,51,Had Not Been Drinking,46-60,1,3
CR-0000090553,Car,29,Had Been Drinking - Under Influence,18-30,7,3
CR-0000090553,Car,57,Had Not Been Drinking,46-60,1,3
CR-0000090554,Car,31,Impairment Not Known,31-45,2,3
CR-0000090554,Car,0,Impairment Not Known,<18,2,3
CR-0000090559,Panel Truck,17,Had Not Been Drinking,<18,1,9
CR-0000090544,Motorcycle/Moped,35,Had Not Been Drinking,31-45,1,8
CR-0000090545,Car,57,Impairment Not Known,46-60,2,3
CR-0000090545,Car,20,Not Applicable,18-30,0,3
CR-0000090546,Bicycle,60,Had Not Been Drinking,46-60,1,0
CR-0000090550,Car,76,Had Not Been Drinking,60+,1,3
CR-0000090555,Panel Truck,33,Had Not Been Drinking,31-45,1,9
CR-0000090556,Car,0,Impairment Not Known,<18,2,3
CR-0000090556,Car,38,Impairment Not Known,31-45,2,3
CR-0000090557,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090559,Car,23,Had Not Been Drinking,18-30,1,3
CR-0000090560,Car,18,Impairment Not Known,<18,2,3
CR-0000090560,Pedestrian,0,Impairment Not Known,<18,2,10
CR-0000090570,Scooter Motorized,45,Impairment Not Known,31-45,2,11
CR-0000090571,Car,30,Had Been Drinking - Under Influence,18-30,7,3
CR-0000090572,Car,68,Had Been Drinking - Under Influence,60+,7,3
CR-0000090573,Car,0,Not Applicable,<18,0,3
CR-0000090574,Car,26,Had Not Been Drinking,18-30,1,3
CR-0000090579,Car,0,Impairment Not Known,<18,2,3
CR-0000090561,Car,55,Impairment Not Known,46-60,2,3
CR-0000090563,Car,0,Not Applicable,<18,0,3
CR-0000090564,Panel Truck,0,Not Applicable,<18,0,9
CR-0000090567,Car,25,Had Been Drinking - Under Influence,18-30,7,3
CR-0000090571,Car,0,Not Applicable,<18,0,3
CR-0000090572,Car,36,Had Been Drinking - Under Influence,31-45,7,3
CR-0000090573,Car,0,Impairment Not Known,<18,2,3
CR-0000090576,Car,44,Had Not Been Drinking,31-45,1,3
CR-0000090576,Car,44,Had Not Been Drinking,31-45,1,3
CR-0000090562,Car,32,Had Been Drinking - Under Influence,31-45,7,3
CR-0000090563,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090564,Car,0,Impairment Not Known,<18,2,3
CR-0000090566,Car,25,Impairment Not Known,18-30,2,3
CR-0000090568,Car,0,Impairment Not Known,<18,2,3
CR-0000090570,Car,24,Impairment Not Known,18-30,2,3
CR-0000090571,Car,28,Had Not Been Drinking,18-30,1,3
CR-0000090572,Car,26,Had Not Been Drinking,18-30,1,3
CR-0000090575,Car,44,Had Not Been Drinking,31-45,1,3
CR-0000090577,Car,0,Impairment Not Known,<18,2,3
CR-0000090578,Car,0,Not Applicable,<18,0,3
CR-0000090561,Car,73,Had Not Been Drinking,60+,1,3
CR-0000090561,Car,36,Had Not Been Drinking,31-45,1,3
CR-0000090565,Car,0,Impairment Not Known,<18,2,3
CR-0000090565,Car,39,Had Not Been Drinking,31-45,1,3
CR-0000090566,Car,36,Impairment Not Known,31-45,2,3
CR-0000090569,Car,0,Impairment Not Known,<18,2,3
CR-0000090574,Car,55,Not Applicable,46-60,0,3
CR-0000090575,Car,21,Had Not Been Drinking,18-30,1,3
CR-0000090577,Car,54,Impairment Not Known,46-60,2,3
CR-0000090578,Car,34,Had Been Drinking - Under Influence,31-45,7,3
CR-0000090580,Car,41,Impairment Not Known,31-45,2,3
CR-0000090579,Car,79,Impairment Not Known,60+,2,3
CR-0000090580,Car,18,Impairment Not Known,<18,2,3
CR-0000090582,Car,0,Impairment Not Known,<18,2,3
CR-0000090582,Car,20,Had Not Been Drinking,18-30,1,3
CR-0000090583,Car,19,Impairment Not Known,18-30,2,3
CR-0000090581,Pedestrian,41,Impairment Not Known,31-45,2,10
CR-0000090586,Car,0,Impairment Not Known,<18,2,3
CR-0000090588,Car,0,Not Applicable,<18,0,3
CR-0000090581,Car,28,Had Not Been Drinking,18-30,1,3
CR-0000090585,Panel Truck,0,Not Applicable,<18,0,9
CR-0000090587,Car,0,Impairment Not Known,<18,2,3
CR-0000090584,Car,0,Impairment Not Known,<18,2,3
CR-0000090585,Panel Truck,40,Had Been Drinking - Under Influence,31-45,7,9
CR-0000090586,Car,23,Impairment Not Known,18-30,2,3
CR-0000090588,Car,0,Impairment Not Known,<18,2,3
CR-0000090588,Car,0,Not Applicable,<18,0,3
CR-0000090590,Car,31,Impairment Not Known,31-45,2,3
CR-0000090592,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090593,Panel Truck,75,Had Not Been Drinking,60+,1,9
CR-0000090595,Pedestrian,75,Impairment Not Known,60+,2,10
CR-0000090597,Panel Truck,47,Impairment Not Known,46-60,2,9
CR-0000090599,Car,74,Had Not Been Drinking,60+,1,3
CR-0000090601,Car,59,Impairment Not Known,46-60,2,3
CR-0000090603,Car,0,Impairment Not Known,<18,2,3
CR-0000090604,Car,17,Impairment Not Known,<18,2,3
CR-0000090606,Car,58,Had Been Drinking - Under Influence,46-60,7,3
CR-0000090608,Car,28,Had Not Been Drinking,18-30,1,3
CR-0000090610,Panel Truck,0,Not Applicable,<18,0,9
CR-0000090589,Car,46,Not Applicable,46-60,0,3
CR-0000090591,Panel Truck,60,Had Not Been Drinking,46-60,1,9
CR-0000090593,Car,30,Had Not Been Drinking,18-30,1,3
CR-0000090595,Car,0,Impairment Not Known,<18,2,3
CR-0000090597,Car,0,Impairment Not Known,<18,2,3
CR-0000090599,Car,42,Had Not Been Drinking,31-45,1,3
CR-0000090600,Panel Truck,26,Had Not Been Drinking,18-30,1,9
CR-0000090602,Car,43,Had Not Been Drinking,31-45,1,3
CR-0000090604,Car,66,Impairment Not Known,60+,2,3
CR-0000090605,Car,18,Had Not Been Drinking,<18,1,3
CR-0000090607,Pedestrian,26,Impairment Not Known,18-30,2,10
CR-0000090610,Panel Truck,26,Had Been Drinking - Under Influence,18-30,7,9
CR-0000090611,Car,21,Had Not Been Drinking,18-30,1,3
CR-0000090611,Car,0,Impairment Not Known,<18,2,3
CR-0000090590,Pedestrian,58,Had Not Been Drinking,46-60,1,10
CR-0000090592,Other,54,Not Applicable,46-60,0,17
CR-0000090594,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090596,Car,22,Had Not Been Drinking,18-30,1,3
