CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,PrimaryCollisionFactor_Code,CollisionType_Code,Distance,CrashTime
591079,CR-0000071607,0,0,0,0,5,2,228.0,23
591080,CR-0000071780,0,0,0,0,5,2,148.0,7
591081,CR-0000060418,0,0,0,0,5,4,1583.0,9
591082,CR-0000060410,0,1,0,0,5,1,295.0,20
591083,CR-0000060514,2,0,0,0,5,8,0.0,19
591084,CR-0000072455,0,0,0,0,5,2,54.0,18
591085,CR-0000067624,1,0,0,0,5,6,313.0,18
591086,CR-0000043201,0,0,0,0,4,1,0.0,21
591087,CR-0000053490,0,0,0,0,4,5,0.0,21
591088,CR-0000043155,1,0,0,0,5,5,0.0,18
591089,CR-0000047818,0,0,0,0,5,3,920.0,18
591090,CR-0000053301,0,0,0,0,5,3,48.0,3
591091,CR-0000043401,0,0,0,0,5,5,250.0,18
591092,CR-0000043387,0,0,0,0,4,5,0.0,18
591093,CR-0000043460,0,0,0,0,4,3,0.0,0
591094,CR-0000055203,0,1,0,0,5,3,0.0,1
591095,CR-0000055437,0,1,0,0,5,1,423.0,5
591096,CR-0000062033,1,0,0,0,5,5,27.0,15
591097,CR-0000054976,0,1,0,0,5,0,0.0,17
591098,CR-0000039225,0,0,0,0,5,3,51.0,19
591099,CR-0000054600,0,1,0,0,5,3,400.0,18
591100,CR-0000054933,0,0,0,0,4,6,0.0,12
591101,CR-0000054932,1,0,0,0,5,0,0.0,11
591102,CR-0000054825,0,0,0,0,5,0,0.0,15
591103,CR-0000043278,0,0,0,0,4,3,0.0,9
591104,CR-0000043275,1,0,0,0,5,5,0.0,0
591105,CR-0000043268,0,0,0,0,4,1,0.0,14
591106,CR-0000043265,1,0,0,0,0,3,30.0,18
591107,CR-0000054505,0,0,0,0,5,2,90.0,1
591108,CR-0000053611,0,0,0,0,4,3,0.0,23
591109,CR-0000056795,1,0,0,0,5,5,0.0,9
591110,CR-0000043311,1,1,0,0,5,3,0.0,10
591111,CR-0000054495,0,0,0,0,4,5,0.0,22
591112,CR-0000057666,0,0,0,0,5,5,20.0,0
591114,CR-0000053400,0,0,0,0,4,3,203.0,22
591115,CR-0000048557,0,0,0,0,5,6,0.0,13
591116,CR-0000053614,0,0,0,0,5,3,250.0,0
591117,CR-0000052466,1,0,0,0,5,3,0.0,7
591118,CR-0000057693,1,2,2,0,5,0,0.0,20
591119,CR-0000056794,0,0,0,0,5,5,0.0,9
591120,CR-0000043204,0,0,0,0,5,3,0.0,0
591121,CR-0000070578,1,0,0,0,5,8,0.0,7
591122,CR-0000070569,0,1,0,0,0,7,535.0,17
591123,CR-0000048331,0,0,0,0,5,0,188.0,19
591124,CR-0000043177,0,0,0,0,5,3,102.0,8
591125,CR-0000048472,0,0,0,0,4,5,0.0,14
591126,CR-0000043285,0,0,0,0,5,3,0.0,16
591127,CR-0000053406,0,0,0,0,5,5,165.0,15
591128,CR-0000043324,0,0,1,0,5,3,0.0,12
591129,CR-0000057701,1,0,0,0,4,6,0.0,8
591130,CR-0000063702,0,0,0,0,5,4,3992.0,18
591131,CR-0000063634,1,0,0,0,5,2,402.0,4
591132,CR-0000063300,0,0,0,0,5,1,128.0,14
591133,CR-0000038798,0,0,0,0,5,3,400.0,3
591134,CR-0000054788,0,0,0,0,5,1,18.0,3
591135,CR-0000061991,0,0,0,0,5,2,726.0,5
591136,CR-0000055730,1,1,0,0,5,2,35.0,0
591137,CR-0000072030,0,0,0,0,5,2,0.0,1
591138,CR-0000060604,1,0,0,0,5,5,0.0,8
591139,CR-0000060399,1,1,0,0,5,1,12.0,1
591140,CR-0000072448,0,0,0,0,5,2,70.0,13
591141,CR-0000061145,0,0,0,0,5,2,215.0,4
591142,CR-0000068096,0,0,0,0,5,4,150.0,23
591143,CR-0000064984,0,0,0,0,5,1,239.0,0
591144,CR-0000068681,0,0,0,1,3,8,235.0,22
591145,CR-0000057184,0,0,0,0,5,2,350.0,4
591146,CR-0000046137,0,2,0,0,5,3,778.0,1
591147,CR-0000047632,0,0,0,0,5,1,0.0,19
591148,CR-0000062121,0,0,0,0,5,2,0.0,18
591149,CR-0000043264,1,0,0,0,5,0,0.0,15
591150,CR-0000053631,2,0,0,0,5,5,255.0,16
591151,CR-0000053628,1,0,0,0,5,3,375.0,11
591152,CR-0000053581,0,0,0,0,4,5,0.0,21
591153,CR-0000053830,0,0,0,0,4,1,0.0,13
591154,CR-0000056793,0,0,0,0,5,6,150.0,7
591155,CR-0000052777,0,0,0,0,4,0,0.0,13
591156,CR-0000052862,0,1,0,0,5,3,0.0,16
591157,CR-0000056780,0,0,0,0,5,6,150.0,18
591158,CR-0000057589,0,0,0,0,5,2,0.0,18
591159,CR-0000063736,0,0,0,0,5,0,95.0,2
591160,CR-0000057217,0,0,0,0,5,2,95.0,3
591161,CR-0000062977,0,0,0,0,5,2,185.0,9
591162,CR-0000055492,0,0,0,0,5,1,25.0,22
591163,CR-0000057543,0,0,0,0,5,1,145.0,0
